vote_2020,gender,race_ethnicity,household_income,state,age,vote_trump
Donald Trump,female,White,"$50,000 to $99,999",wisconsin,49,1
Donald Trump,female,White,"$150,000 to $199,999",virginia,46,1
Donald Trump,female,White,"$50,000 to $99,999",texas,75,1
Donald Trump,female,White,"Less than $49,999",washington,52,1
Joe Biden,female,White,"$50,000 to $99,999",massachusetts,21,0
Joe Biden,female,"Black, or African American","Less than $49,999",texas,38,0
Donald Trump,female,White,"Less than $49,999",california,69,1
Donald Trump,female,White,"$100,000 to $149,999",north carolina,59,1
Donald Trump,female,White,"Less than $49,999",maryland,74,1
Joe Biden,female,White,"$50,000 to $99,999",florida,55,0
Donald Trump,female,White,"Less than $49,999",west virginia,62,1
Joe Biden,female,White,"Less than $49,999",ohio,42,0
Joe Biden,female,White,"Less than $49,999",new york,81,0
Joe Biden,female,White,"Less than $49,999",kentucky,22,0
Donald Trump,male,White,"$150,000 to $199,999",indiana,71,1
Joe Biden,male,White,"Less than $49,999",washington,41,0
Donald Trump,female,White,"Less than $49,999",iowa,71,1
Donald Trump,female,White,"$50,000 to $99,999",south carolina,55,1
Joe Biden,male,White,"$50,000 to $99,999",minnesota,68,0
Donald Trump,female,White,"$50,000 to $99,999",georgia,69,1
Donald Trump,female,White,"$50,000 to $99,999",pennsylvania,33,1
Joe Biden,female,White,"$50,000 to $99,999",new jersey,70,0
Donald Trump,female,White,"Less than $49,999",virginia,32,1
Donald Trump,female,White,"$100,000 to $149,999",south carolina,77,1
Donald Trump,female,White,"$100,000 to $149,999",texas,65,1
Joe Biden,female,"Black, or African American","Less than $49,999",florida,22,0
Joe Biden,female,White,"$50,000 to $99,999",arizona,63,0
Joe Biden,male,White,"Less than $49,999",illinois,79,0
Donald Trump,male,White,"$50,000 to $99,999",ohio,70,1
Joe Biden,female,White,"$50,000 to $99,999",ohio,54,0
Joe Biden,male,White,"Less than $49,999",california,72,0
Donald Trump,female,White,"Less than $49,999",florida,40,1
Joe Biden,female,"Black, or African American","$50,000 to $99,999",north carolina,69,0
Joe Biden,male,White,"$200,000 and above",texas,37,0
Joe Biden,female,White,"$150,000 to $199,999",florida,36,0
Joe Biden,female,White,"$50,000 to $99,999",texas,40,0
Joe Biden,female,White,"$50,000 to $99,999",new jersey,41,0
Joe Biden,female,White,"Less than $49,999",california,30,0
Donald Trump,female,White,"Less than $49,999",oregon,72,1
Donald Trump,female,White,"Less than $49,999",pennsylvania,55,1
Joe Biden,female,"Black, or African American","$100,000 to $149,999",pennsylvania,80,0
Joe Biden,female,White,"$50,000 to $99,999",north carolina,66,0
Donald Trump,female,White,"Less than $49,999",texas,40,1
Donald Trump,male,Asian or Pacific Islander,"$50,000 to $99,999",virginia,31,1
Donald Trump,male,White,"$50,000 to $99,999",ohio,69,1
Joe Biden,female,Asian or Pacific Islander,"$100,000 to $149,999",california,31,0
Joe Biden,female,White,"$50,000 to $99,999",illinois,51,0
Donald Trump,female,White,"$100,000 to $149,999",north carolina,78,1
Joe Biden,female,White,"$50,000 to $99,999",michigan,58,0
Joe Biden,female,White,"$150,000 to $199,999",california,19,0
Joe Biden,female,White,"$50,000 to $99,999",michigan,41,0
Joe Biden,male,White,"Less than $49,999",connecticut,39,0
Donald Trump,female,White,"$50,000 to $99,999",north carolina,63,1
Donald Trump,female,White,"Less than $49,999",connecticut,73,1
Donald Trump,female,White,"Less than $49,999",north carolina,38,1
Donald Trump,female,White,"Less than $49,999",oregon,69,1
Donald Trump,female,White,"$100,000 to $149,999",illinois,61,1
